Team,Complaint
Promotions,I didn’t get the free gift that was promised this is unacceptable.
General,Your store used to be better organized and cleaner.
Feedback,I left a suggestion last month and never heard back i expected better.
Billing,I was charged twice for the same item i expected better.
Billing,Still haven’t received the refund i was promised.
Promotions,The sale ended earlier than announced not the first time this has happened.
Feedback,Wish there was a better way to share my experience not the first time this has happened.
Technical,Your site is not mobile-friendly at all this is unacceptable.
Accounts,Reward points were not applied to my recent purchase this is unacceptable.
Delivery,Tracking information wasn’t updated for days.
Accounts,Reward points were not applied to my recent purchase this is unacceptable.
Delivery,Items were missing from my delivery and no one followed up very disappointing.
Promotions,Promotion advertised online wasn’t valid in-store.
Delivery,Items were missing from my delivery and no one followed up not the first time this has happened.
Technical,Website freezes during payment—super frustrating i expected better.
General,Customer support is getting worse over time this is unacceptable.
Accounts,I can’t access my loyalty account after the last update i expected better.
Returns,Still waiting on my refund after returning an item.
Feedback,I’d appreciate a follow-up after my last complaint i expected better.
Delivery,My order arrived late with no update or apology not the first time this has happened.
Accounts,I can’t access my loyalty account after the last update.
Returns,Return policy is misleading and unclear.
Accounts,My store credit balance is showing incorrectly.
Accounts,Reward points were not applied to my recent purchase this is unacceptable.
General,Why do simple requests take so long to resolve? very disappointing.
Technical,The barcode scanner doesn’t work in the mobile app.
General,Your store used to be better organized and cleaner i expected better.
Promotions,I didn’t get the free gift that was promised.
Feedback,I’d appreciate a follow-up after my last complaint very disappointing.
Returns,The return desk staff was very unhelpful i expected better.
Returns,The return desk staff was very unhelpful this is unacceptable.
Promotions,The sale ended earlier than announced.
Accounts,I changed my email but still get messages at the old one i expected better.
Billing,I was charged twice for the same item not the first time this has happened.
Delivery,Tracking information wasn’t updated for days not the first time this has happened.
Feedback,Wish there was a better way to share my experience very disappointing.
Promotions,I didn’t get the free gift that was promised i expected better.
Billing,Still haven’t received the refund i was promised this is unacceptable.
Delivery,Tracking information wasn’t updated for days very disappointing.
Feedback,There’s no option to rate my shopping experience this is unacceptable.
Delivery,The delivery guy left the package outside in the rain this is unacceptable.
Accounts,I can’t access my loyalty account after the last update.
Billing,There’s an unexplained fee added to my invoice i expected better.
Technical,Your site is not mobile-friendly at all i expected better.
General,Things seem very uncoordinated lately this is unacceptable.
Technical,Website freezes during payment—super frustrating this is unacceptable.
Accounts,My store credit balance is showing incorrectly i expected better.
Delivery,Tracking information wasn’t updated for days this is unacceptable.
Billing,The total at checkout didn’t match the advertised prices very disappointing.
General,Why do simple requests take so long to resolve? i expected better.
Promotions,I didn’t get the free gift that was promised not the first time this has happened.
Delivery,Package was delivered to the wrong address very disappointing.
Feedback,Wish there was a better way to share my experience i expected better.
Promotions,The sale ended earlier than announced this is unacceptable.
General,Why do simple requests take so long to resolve? this is unacceptable.
Returns,Return process is way too complicated very disappointing.
Accounts,I can’t access my loyalty account after the last update very disappointing.
Returns,Return policy is misleading and unclear.
General,The overall shopping experience has gone downhill.
Feedback,I’d appreciate a follow-up after my last complaint very disappointing.
Promotions,The sale ended earlier than announced i expected better.
Feedback,I’d appreciate a follow-up after my last complaint very disappointing.
Delivery,Items were missing from my delivery and no one followed up this is unacceptable.
General,Why do simple requests take so long to resolve? very disappointing.
Accounts,My account was locked for no reason i expected better.
Billing,I was charged twice for the same item very disappointing.
Feedback,I’d appreciate a follow-up after my last complaint not the first time this has happened.
Accounts,My account was locked for no reason i expected better.
Returns,The return desk staff was very unhelpful i expected better.
Technical,The app keeps crashing every time i try to check out very disappointing.
Delivery,Items were missing from my delivery and no one followed up this is unacceptable.
Technical,The app keeps crashing every time i try to check out this is unacceptable.
Delivery,The delivery guy left the package outside in the rain.
Billing,Still haven’t received the refund i was promised i expected better.
Delivery,Items were missing from my delivery and no one followed up i expected better.
Promotions,The sale ended earlier than announced i expected better.
Billing,There’s an unexplained fee added to my invoice.
Technical,Website freezes during payment—super frustrating i expected better.
Feedback,I left a suggestion last month and never heard back not the first time this has happened.
Billing,There’s an unexplained fee added to my invoice.
Returns,Still waiting on my refund after returning an item very disappointing.
Promotions,The discount code wouldn’t apply at checkout very disappointing.
Promotions,The discount code wouldn’t apply at checkout very disappointing.
Delivery,Package was delivered to the wrong address.
Promotions,The sale ended earlier than announced this is unacceptable.
